epoch,acc,loss,val_acc,val_loss
0,0.7998333333015442,0.5657602317651113,0.8704,0.3596164686203003
1,0.8727166666348776,0.3590081226348877,0.8859,0.31625247752666474
2,0.8890666666348775,0.30931155599753063,0.8966,0.28748598070144654
3,0.8990333333333334,0.28107071503798164,0.9058,0.25708641767501833
4,0.9079666666348776,0.2565520189921061,0.9085,0.2517460436820984
5,0.9149166666984558,0.23571476012070974,0.916,0.24002484903335572
6,0.9207666666666666,0.2203341503461202,0.9113,0.24138508129119873
7,0.9259333333015441,0.20538725968996685,0.918,0.2257222845554352
8,0.93005,0.19572053954601287,0.922,0.21941446485519409
9,0.9341333333651225,0.18281305606365203,0.9228,0.2133666699886322
10,0.9372666666348776,0.17339323778152466,0.9172,0.22438137726783752
11,0.9394833333651225,0.16617720480362574,0.924,0.21130351920127868
12,0.9427999999682108,0.15842170940240224,0.9253,0.2121270393371582
13,0.9464166666666667,0.15104368543227514,0.9274,0.22398278188705445
14,0.9471,0.1456141868988673,0.9279,0.2111525673866272
15,0.9500666666666666,0.13883922969897589,0.927,0.2303791211128235
16,0.9521000000317892,0.13352065111398698,0.9293,0.22221219801902772
17,0.9539333333333333,0.12896072579224904,0.93,0.2078040431022644
18,0.9555833333015442,0.12278567508459091,0.9287,0.24272235894203187
19,0.9567500000317891,0.11993662485281627,0.9325,0.20568625593185424
20,0.9589666666666666,0.11641371420025826,0.9303,0.23301373462677002
21,0.9594666666984558,0.1114169525941213,0.93,0.2381313154220581
22,0.96235,0.10692598398129145,0.9296,0.22911595788002015
23,0.9614666666666667,0.10547225291331609,0.9289,0.22109161081314088
24,0.9622,0.10309090077082315,0.9309,0.2418793049812317
25,0.9646166666984558,0.0992296111702919,0.9336,0.22125289759635924
26,0.9649166666984558,0.09579861346085866,0.9291,0.22794698705673216
27,0.9661666666984559,0.09344508879979452,0.9322,0.21852612829208373
28,0.9670666666984558,0.09071052633921306,0.9317,0.2455889370918274
29,0.9677666666348775,0.08992862540880839,0.9318,0.21683520030975342
30,0.9682833333651225,0.08821842753887177,0.9331,0.21297964038848877
31,0.9699499999682109,0.08304079918662707,0.932,0.2545761940002441
32,0.9694166666984558,0.08388610862692197,0.9325,0.26789123735427856
33,0.9703833333015441,0.08266198603312175,0.9311,0.2698237750530243
34,0.9705166666984558,0.07989117044508458,0.9323,0.2799813702583313
35,0.9706666666984558,0.08098007574280103,0.9325,0.24725513486862183
36,0.9717333333651225,0.07802221349279086,0.9338,0.21454001212120055
37,0.97245,0.07911678034067154,0.9326,0.26960176010131837
38,0.9735166666984558,0.07447367522120475,0.9356,0.2729738212585449
39,0.97405,0.07280503555337588,0.9339,0.25778035507202146
40,0.97295,0.07636147879759471,0.9351,0.2463201989173889
41,0.9738666666666667,0.07304758828878402,0.9314,0.24519281554222108
42,0.9747666666348775,0.07292679229180019,0.9353,0.2769507481575012
43,0.9746499999682109,0.07160487875143687,0.9359,0.24688706827163695
44,0.9749333333333333,0.07184826109409333,0.9239,0.23952403964996338
45,0.9759333333015442,0.06924561852316062,0.9345,0.29917084608078004
46,0.9755500000317892,0.06929810636440913,0.9336,0.27527902708053587
47,0.9754666666348776,0.0697961584965388,0.9327,0.24796372117996215
48,0.9761666666984559,0.06833904906610648,0.9339,0.2557822163105011
49,0.9760833333333333,0.06867442251642546,0.9303,0.254236776638031
50,0.9767666666666667,0.06922504922946295,0.9355,0.2686156379699707
51,0.9765499999682109,0.06858648725350698,0.9331,0.31259206051826477
52,0.9758833333015442,0.06979565492967764,0.9352,0.29646076135635374
53,0.9777,0.06377577543954055,0.9355,0.3293400852680206
54,0.9768166666984558,0.0667705953836441,0.9344,0.287634046125412
55,0.9764166666348775,0.06666464655995369,0.9346,0.2579017092704773
56,0.9774666666666667,0.0645509892642498,0.9353,0.29850120515823364
57,0.9764166666348775,0.06728106123705704,0.9319,0.26261743316650393
58,0.9772166666984559,0.06528191159566243,0.9357,0.2850932708740234
59,0.9771499999682108,0.06507377740939459,0.9346,0.31853307347297666
60,0.9774666666984558,0.06539221614201864,0.9359,0.29081483602523805
61,0.9782499999682108,0.06305306967695554,0.9355,0.28048121910095214
62,0.9783666666348775,0.06350352356731892,0.9383,0.2866533545970917
63,0.9782499999682108,0.06436510796546936,0.9337,0.24351088643074037
64,0.97845,0.06232559266189734,0.9321,0.2728091609954834
65,0.9787833333015442,0.061797377373774845,0.9358,0.31183851776123045
66,0.9792499999682108,0.061036719826857246,0.9339,0.24181192169189453
67,0.9779999999682109,0.06383644702434539,0.9353,0.30760853099823
68,0.9779166666348775,0.06359794209798177,0.9359,0.3121674304962158
69,0.9793333333651225,0.0630485063890616,0.9336,0.267366908788681
70,0.9786500000317891,0.06307082661688328,0.9291,0.2594680233955383
71,0.9793000000317892,0.06289165127972762,0.9314,0.3728547050476074
72,0.9783666666348775,0.06222445958654086,0.9325,0.2929923629283905
73,0.9799166666348775,0.060251848501960435,0.9361,0.33532719540596007
74,0.9786833333015442,0.06167816091477871,0.9337,0.28394486441612243
75,0.9797500000317891,0.059022817794481916,0.9287,0.3329438068389893
76,0.9792166666348775,0.059813343036174776,0.9333,0.34271871032714846
77,0.9791833333651225,0.06072252894341946,0.9356,0.2952255044937134
78,0.9800833333015442,0.05994161020318667,0.9305,0.2802257500886917
79,0.9800500000317891,0.060285493870576225,0.9355,0.3792639627724886
80,0.9799333333333333,0.05960878598690033,0.9314,0.30955543570518496
81,0.9804166666348775,0.06015599097311497,0.9338,0.35985461225509646
82,0.9799666666348775,0.058383241778612135,0.9359,0.33260542168617246
83,0.9804166666666667,0.059621569171547886,0.9335,0.3125810206413269
84,0.9792333333015442,0.06307441670497259,0.9356,0.31823048417568206
85,0.9790666666984558,0.06282485310236613,0.9313,0.2748909394264221
86,0.9804666666666667,0.0582526876617223,0.9353,0.3503845974445343
87,0.9798166666348775,0.06102421034773191,0.9323,0.2607012066364288
88,0.9805499999682109,0.05784434862434864,0.9338,0.28354484531879426
89,0.9796500000317891,0.05938937781552474,0.9356,0.33918685574531554
90,0.9797833333015442,0.05974115176051855,0.9291,0.26282411255836485
91,0.9808166666666667,0.05849983307570219,0.9354,0.3619526409626007
92,0.9792166666984559,0.06308708691845337,0.9304,0.3398543092250824
93,0.9816333333015442,0.055989824448277555,0.9346,0.28851730189323427
94,0.9811166666666666,0.05746721655105551,0.9359,0.3488759530544281
95,0.9805833333651225,0.06101135062078635,0.9372,0.33579746422767637
96,0.9809666666348775,0.05699374498724937,0.9349,0.32928356161117556
97,0.9794333333333334,0.06236836392780145,0.9339,0.35644341855049133
98,0.9812666666666666,0.05744098469267289,0.9357,0.3098775915622711
99,0.9810999999682108,0.058848998202880226,0.932,0.3421135225057602
100,0.9798833333015442,0.05948634433969855,0.934,0.29533974928855894
101,0.9804833333015441,0.059235154072443647,0.9331,0.2509732190132141
102,0.9805333333333334,0.05938904162198305,0.9342,0.34029437923431394
103,0.9805833333015442,0.059114111157755056,0.931,0.3495121771812439
104,0.9809000000317891,0.05753899537374576,0.9343,0.26756521787643434
105,0.9815666666348776,0.05569256446311871,0.933,0.31069177832603456
106,0.9804500000317892,0.06028798719743888,0.9356,0.3322124866008759
107,0.9799833333651224,0.061134246985117595,0.9342,0.29294515353441236
108,0.9799666666348775,0.058957427543898426,0.9356,0.35346434137523175
109,0.9797833333333333,0.061758203672369325,0.931,0.2908561407923698
110,0.9810166666984558,0.05779740037024021,0.9358,0.3843388069152832
111,0.9802166666348775,0.059395830259720485,0.9319,0.324486869841814
112,0.9805000000317892,0.05637024312615395,0.9346,0.33434841871261595
113,0.9809166666348775,0.05825193558807174,0.935,0.3610251689910889
114,0.9812333333333333,0.05720063498516877,0.933,0.33598815703392026
115,0.9811166666666666,0.05710128196626901,0.9289,0.2809964692234993
116,0.9818166666984558,0.05583928101261457,0.9347,0.33265013694763185
117,0.9813,0.0568991286367178,0.933,0.29742098665237426
118,0.9802833333651225,0.06320762191365163,0.9311,0.2866261412709951
